SRR11784031	SRR11784026	SRR11784028	SRR11784030	SRR11784027	SRR11784029	SRR11784032
23480	0	1	2	0	5	1	2
55915	15	25	28	27	25	14	19
1644	8	30	63	40	36	38	30
2926	11	50	42	45	49	20	29
26057	18	40	59	132	44	73	53
3691	8	35	21	21	19	18	27
10462	0	2	0	1	1	2	0
55065	2	21	3	4	9	4	6
3000	5	3	9	8	3	9	3
54739	2	13	9	77	22	14	20
1742	3	3	4	14	4	2	12
10247	1	7	6	21	19	15	3
157680	66	147	126	142	130	103	63
4147	16	77	27	44	87	22	27
51308	0	2	0	0	0	0	4
6388	2	4	3	3	7	0	3
2319	1	11	13	33	30	16	21
26284	0	6	4	1	3	2	1
54496	21	18	11	31	22	7	16
51388	53	81	61	69	64	34	96
7014	5	18	17	20	19	14	23
27183	303	642	464	625	438	519	360
63926	0	6	1	0	1	5	1
6616	1	1	7	2	8	6	0
22903	2	2	8	21	4	6	20
5111	3	3	0	1	4	1	0
29107	1	5	0	5	1	1	5
10621	16	20	12	28	16	13	14
54453	11	28	32	35	29	24	31
5786	20	19	31	71	23	36	28
6754	0	0	0	1	1	0	0
7818	54	91	38	62	64	50	91
57127	3	1	16	21	9	16	7
22889	2	10	21	30	15	12	13
10763	14	39	32	73	53	36	132
63827	5	3	3	7	4	2	3
1401	0	0	0	0	0	0	0
9826	8	26	35	69	20	39	73
57111	1	2	4	0	2	6	1
60484	3	0	0	2	9	1	3
325	0	0	0	0	0	0	0
79368	0	1	0	0	0	0	0
23208	2	7	4	2	6	0	1
3508	2	11	5	23	21	8	16
222	0	0	0	2	0	1	1
9633	0	11	3	4	2	1	4
25974	320	662	448	413	859	569	394
1802	2	2	5	8	6	2	3
114034	9	20	8	19	11	17	15
4678	15	67	40	75	51	48	21
55544	2	0	7	12	4	5	5
10955	0	16	16	43	20	10	13
5509	3	0	3	4	2	2	8
23743	23	56	163	205	68	132	69
8546	15	30	26	54	14	42	19
10207	7	63	97	146	72	91	56
27329	55	156	78	54	77	121	20
8170	11	12	20	8	20	8	9
842	1	5	5	6	6	1	6
51164	1	13	15	10	7	10	0
5145	5	16	4	4	7	0	4
51761	0	7	0	0	0	2	0
9205	0	1	5	7	2	2	5
10208	3	3	4	9	1	5	1
64328	7	36	15	17	25	7	3
51371	1	5	1	6	1	4	2
241	0	0	0	1	0	1	0
10810	1	7	5	8	3	5	9
56163	0	0	0	0	0	0	0
2835	0	0	0	0	0	0	0
4626	18	19	44	30	80	23	17
4628	247	641	605	534	378	502	315
10400	2	4	0	3	7	1	8
1116	6	8	7	4	8	10	10
4608	6	18	6	4	18	9	36
5287	7	43	32	34	31	63	16
1118	1	4	0	0	1	2	0
9911	1	1	0	11	2	1	2
9201	1	2	3	5	5	8	4
8900	0	0	0	0	0	0	0
23111	10	17	35	35	34	27	19
7223	0	33	0	3	6	0	3
10631	0	38	1	6	7	7	4
5994	3	5	0	12	3	3	1
7178	38	166	347	351	309	331	191
55425	4	0	11	16	11	16	8
9365	8	48	57	61	62	71	69
5983	0	1	0	0	0	1	0
90627	16	39	29	52	32	31	27
8471	0	1	1	3	0	1	0
79710	6	39	52	19	48	27	12
79589	2	2	0	8	4	0	2
54885	1	2	4	6	6	4	2
79921	50	100	55	121	66	104	43
55859	0	0	1	1	0	1	4
2048	0	1	0	15	2	4	5
10250	29	48	79	154	51	76	93
55643	122	224	201	336	180	227	283
5158	13	51	23	22	32	29	25
23640	2	4	6	0	3	6	7
1455	27	48	38	68	29	54	74
55748	12	27	50	68	55	55	67
54663	30	56	41	82	38	77	35
10313	5	14	21	61	22	16	26
5920	2	2	2	2	2	0	5
4629	168	707	189	326	373	250	281
23037	102	154	159	212	191	140	100
22880	27	21	50	46	44	36	21
9215	5	22	6	25	7	10	32
66035	25	47	112	195	37	129	29
284904	0	0	0	0	0	0	0
474344	1	3	3	9	8	11	4
55303	4	6	7	23	3	4	5
90956	10	5	9	14	6	8	8
23608	5	10	10	20	11	7	14
57180	1	5	1	3	2	4	4
4922	0	0	0	0	0	0	0
694	14	22	13	44	28	19	39
79572	3	12	36	65	33	38	35
6441	68	56	44	60	53	44	28
3845	115	260	225	171	186	177	66
10526	3	13	13	20	15	16	11
11005	3	17	17	4	7	5	3
3612	0	3	3	10	7	10	5
1875	123	276	211	192	217	204	106
759	87	216	169	128	154	162	52
29080	10	12	15	34	8	13	16
23075	3	4	15	36	17	14	10
406	30	40	29	24	39	7	16
10894	7	29	22	6	8	8	6
272	6	37	15	23	12	17	27
9645	0	21	9	10	5	15	12
22800	11	9	4	15	23	21	21
3295	6	17	12	28	17	15	15
56154	0	0	0	0	0	2	0
51669	6	11	17	19	9	8	13
79845	2	2	1	4	1	0	0
78986	0	0	4	2	0	1	1
5977	1	7	5	10	7	8	1
8650	169	713	907	385	1045	996	329
23508	3	5	5	4	1	0	5
10001	0	5	4	8	0	5	3
1965	8	20	26	11	14	11	3
8748	0	1	0	5	0	0	0
4017	9	33	20	30	18	17	13
55140	1	9	9	8	15	21	6
27299	0	4	0	0	0	0	0
8932	12	24	30	79	16	25	113
51124	8	3	6	6	5	10	10
891	0	0	0	1	3	2	0
1022	9	27	27	28	22	14	9
4064	9	11	2	7	6	4	0
8536	141	413	307	418	259	329	202
55207	8	12	15	26	20	18	21
9695	1	3	6	11	10	16	9
27255	0	0	0	2	0	0	0
10752	2	12	25	52	16	13	13
4212	35	64	29	130	57	41	66
4308	0	0	0	1	1	0	1
55119	12	45	46	159	40	64	26
10100	4	8	33	10	13	21	1
7252	1	6	1	4	1	3	0
2949	0	2	5	5	1	0	0
2947	47	51	36	96	39	24	69
10451	8	17	16	34	42	27	38
27159	0	0	0	0	0	0	0
84722	11	4	0	12	4	3	1
3158	2	9	3	8	4	5	12
26191	0	1	3	0	5	2	2
6272	17	23	34	94	28	23	68
7482	200	329	243	265	258	236	107
10542	8	15	17	18	20	22	16
11085	0	0	0	0	0	0	0
4853	3	47	16	40	48	36	36
80263	8	15	12	14	12	9	3
10390	216	241	229	168	178	210	79
79679	0	0	2	5	5	6	3
8774	4	1	9	8	2	2	3
51303	2	11	5	7	2	7	3
377	1	19	14	37	13	9	18
79022	0	2	2	10	3	4	6
54407	8	19	22	46	11	21	40
10971	9	16	15	15	26	21	24
57498	12	49	56	106	40	63	22
9475	13	45	42	80	64	46	55
91543	0	2	4	14	4	4	5
4613	1	2	4	4	0	6	16
23175	2	6	13	35	15	6	18
3939	2	15	9	32	16	15	11
3572	13	67	93	111	101	78	49
10468	0	12	0	1	2	0	1
79577	9	14	21	26	17	27	23
10440	1	1	1	0	0	0	1
23418	0	0	0	0	0	1	0
81494	0	0	0	0	0	0	0
10595	2	1	1	0	1	0	0
6210	0	7	9	2	9	6	4
30062	0	0	0	0	0	0	0
4677	7	24	21	40	24	23	22
2922	0	0	0	0	0	0	0
3559	0	2	1	0	0	1	0
79746	1	14	14	10	18	13	16
3601	5	7	0	9	10	3	11
902	165	336	188	178	195	196	74
59340	0	0	0	0	0	1	0
1794	0	7	4	6	10	6	1
2012	0	7	9	34	21	7	11
6660	2	1	3	10	2	8	3
3824	0	0	0	4	0	0	1
4038	2	14	5	6	7	0	0
4607	0	2	1	0	0	0	1
1643	49	57	65	61	58	98	41
53	3	24	12	15	6	10	13
8933	2	9	3	18	14	7	20
9363	0	0	0	0	0	1	0
6658	0	0	0	0	0	0	0
51634	10	13	13	12	6	7	6
4544	1	3	0	2	1	0	0
9698	5	14	27	38	31	47	33
8565	14	28	14	33	37	12	63
1912	17	41	27	86	43	25	100
55143	0	0	1	0	0	0	0
29889	7	4	8	19	9	8	7
192670	3	3	5	16	11	7	19
51361	0	7	10	21	14	14	13
1573	4	2	0	1	3	1	1
23318	23	58	54	69	39	41	32
1824	1	5	7	18	6	4	4
1830	1	0	0	0	0	0	0
51444	19	37	19	18	15	20	8
1828	0	0	0	0	0	0	0
1825	0	0	0	1	0	2	0
1823	3	3	4	3	3	12	0
1837	1	7	3	0	3	4	0
80206	46	43	50	92	47	55	51
747	2	3	0	11	7	3	9
29015	0	0	0	3	1	0	2
26519	0	0	6	2	2	0	1
2694	25	40	63	36	90	46	5
9704	8	8	12	12	5	8	21
9415	18	32	8	28	10	15	7
6947	9	15	20	5	35	17	8
27202	0	0	0	2	0	4	1
55858	39	81	51	53	63	47	23
9575	136	435	307	222	292	244	112
5156	6	19	24	22	19	12	12
1284	128	366	259	420	340	177	288
9071	41	118	69	57	63	94	32
22873	324	471	546	504	478	596	210
2073	0	1	4	4	2	5	0
7174	1	14	16	30	23	14	11
79070	0	1	0	7	5	0	2
79587	30	93	54	59	32	38	44
3703	5	12	16	10	16	13	14
11095	32	29	66	57	18	42	35
56	0	5	0	0	2	0	1
2113	12	57	77	67	46	47	43
51014	7	25	20	4	28	18	10
26578	2	4	0	9	1	1	2
55312	1	2	12	1	3	5	8
301	0	1	0	6	11	6	0
1514	10	18	20	16	34	20	21
23670	3	3	7	8	8	8	11
23287	1	4	6	7	3	8	4
29968	0	10	3	4	4	5	4
81689	3	6	3	15	11	13	5
8728	28	39	12	33	35	22	13
79616	2	0	0	3	4	2	3
51347	19	36	29	63	37	27	26
10993	0	16	9	27	14	10	12
4440	0	0	0	2	0	0	1
23014	11	17	17	31	13	27	45
6926	10	10	8	22	21	8	18
8638	1	0	0	0	0	0	1
8739	0	2	2	0	0	0	2
5025	2	30	18	21	17	16	17
10906	13	32	24	29	13	30	5
9988	133	319	206	226	232	172	86
948	0	1	4	5	0	1	2
79799	1	9	7	7	11	3	0
1447	0	0	0	0	0	0	0
60561	0	4	8	2	2	2	4
6733	184	307	184	170	169	183	90
26136	4	9	3	13	6	8	12
29969	0	12	9	12	7	2	10
25821	5	10	12	21	17	5	7
577	0	2	2	8	0	1	1
3351	1	1	1	6	0	0	2
22832	1	17	11	22	17	10	9
4907	15	52	49	32	37	38	12
2045	3	28	14	18	16	40	14
6885	1	20	8	20	3	7	8
1081	0	0	0	0	0	0	0
4005	2	4	8	28	8	4	32
51317	7	26	27	70	30	20	35
55226	2	9	11	11	9	16	9
26298	4	5	17	29	6	3	15
2001	2	8	0	1	0	1	4
79056	9	6	11	52	14	11	103
4076	13	37	46	77	39	41	39
517	3	4	8	10	21	12	19
967	16	36	24	27	41	28	34
5630	0	5	0	0	0	6	2
10677	33	110	81	61	79	69	26
269	0	6	0	0	0	0	0
10220	80	241	119	120	209	128	92
27165	64	147	120	136	140	124	77
3679	62	260	294	217	187	284	77
9840	0	0	2	0	0	0	0
5959	0	4	4	0	3	2	0
2647	3	0	0	3	3	2	0
3891	0	0	0	0	0	0	1
1019	50	163	104	145	160	128	91
5502	73	42	53	172	62	48	227
10024	0	0	0	0	0	0	0
6302	141	312	111	140	251	151	193
2583	29	86	19	31	29	22	15
7024	2	4	7	16	5	11	9
23017	0	2	1	5	2	2	1
9700	2	4	4	10	9	4	5
3855	7	8	23	22	14	15	8
91	4	16	18	35	27	15	33
10956	27	49	49	100	62	49	122
4284	15	22	10	17	23	10	9
9053	16	38	54	83	33	77	60
8763	4	27	41	30	22	22	23
54806	33	47	54	57	46	54	37
23493	0	2	1	4	7	2	0
9038	0	0	0	0	0	0	0
4829	0	0	0	0	0	0	0
6610	1	11	4	6	3	2	3
64780	71	150	65	132	78	80	84
8676	0	0	1	0	3	3	3
7006	0	1	3	2	1	1	0
10505	2	1	2	13	3	0	3
10574	4	15	11	5	10	8	20
26056	14	31	27	62	43	32	50
10322	4	14	14	10	8	10	8
8291	9	15	16	31	20	11	17
2016	45	71	119	126	58	100	157
27345	2	12	12	2	2	3	16
9958	2	10	13	24	8	12	9
2799	7	24	38	47	64	27	27
1368	69	283	101	117	86	105	47
4193	282	450	592	456	552	814	334
53630	3	7	3	9	6	9	3
10200	1	0	1	4	0	4	0
23563	0	0	1	0	0	0	0
9764	6	6	8	11	15	5	11
1783	34	95	86	130	87	113	51
55336	1	6	2	14	14	5	4
29109	35	122	86	76	53	56	45
6553	33	107	39	46	62	36	62
183	83	167	95	99	128	102	51
3775	0	1	10	4	6	4	4
54583	1	24	14	36	14	17	34
10753	1	4	2	5	7	3	0
22796	1	5	3	10	10	5	7
27097	1	2	5	12	9	3	9
2752	19	33	45	78	58	43	53
10228	14	15	9	16	8	19	10
6041	0	0	3	2	7	2	2
1660	4	18	9	18	26	29	8
57710	64	140	113	254	113	97	118
9857	13	40	45	117	39	43	45
80896	2	18	11	15	18	13	3
116496	1	4	2	12	7	3	4
5279	33	42	44	55	42	50	30
3915	13	45	28	45	53	26	40
3431	4	21	16	27	25	15	18
65080	0	2	2	1	0	3	3
1144	2	3	1	1	3	0	0
5077	0	0	0	1	0	0	0
55619	6	8	7	16	3	11	8
9654	2	4	3	5	5	2	1
3357	29	153	98	70	77	99	24
81618	16	16	15	32	30	16	62
80704	1	4	1	6	1	5	1
5270	1	11	18	9	12	10	5
3300	5	10	9	34	15	19	31
64114	30	73	65	87	63	56	45
1593	0	3	6	10	14	4	7
9470	4	9	15	30	27	18	15
80210	0	13	16	19	18	15	20
51719	27	26	30	51	36	26	100
1329	13	16	21	13	20	28	23
51455	47	154	91	81	101	95	37
80705	10	23	8	24	2	24	10
55654	39	51	49	68	35	33	36
10913	6	15	3	7	7	9	5
9648	117	280	183	232	172	219	113
11250	7	7	15	14	4	7	6
23479	3	30	15	26	29	33	23
55576	8	16	15	23	16	12	8
55681	0	6	13	15	2	8	8
10970	31	59	19	48	33	20	51
10154	55	151	114	83	163	142	62
55198	203	395	201	224	227	237	92
11137	15	11	23	15	14	28	23
23325	3	16	23	21	16	12	7
50853	7	5	3	7	7	5	5
2317	33	72	140	245	166	132	142
5100	0	0	0	0	0	0	0
79621	4	6	2	20	6	9	8
26586	7	11	8	7	10	11	2
11061	5	17	14	5	12	7	2
9882	13	9	28	67	44	34	77
23143	1	12	27	50	20	20	63
8803	13	12	19	16	17	11	9
55213	2	1	5	2	9	6	3
29079	1	2	4	19	6	5	2
51131	18	29	10	26	22	15	18
4008	92	46	71	203	70	76	65
8796	0	0	0	0	2	0	0
9445	59	153	146	125	193	116	220
10253	6	18	17	11	10	6	24
55270	20	39	42	17	27	17	24
1910	5	4	10	13	7	2	10
1102	0	5	2	3	9	7	2
3936	0	15	1	7	13	1	3
9805	10	20	11	35	22	13	19
64759	28	79	102	215	128	89	129
55501	1	14	9	36	15	15	20
10643	8	28	23	25	25	19	8
10457	1	6	8	16	9	7	12
5879	7	27	31	78	54	30	46
11014	1	10	6	9	6	5	4
11097	0	0	3	5	1	3	3
3569	0	1	0	0	1	2	0
55146	0	1	2	8	4	0	1
313	17	55	42	46	149	44	16
28969	0	2	3	6	1	2	2
1607	0	3	0	1	1	2	1
9238	3	5	6	6	4	10	4
54606	16	20	17	30	19	23	31
3364	3	2	9	10	5	2	3
23148	1	4	3	5	0	1	2
27141	176	333	264	323	237	326	189
26257	0	0	0	0	0	0	0
10588	2	0	1	5	3	2	10
11173	3	0	2	12	4	2	10
3658	4	3	12	42	15	16	5
57538	26	20	24	62	31	29	51
53346	38	78	49	25	47	50	13
10518	0	0	0	6	1	0	4
10241	4	10	17	33	23	23	25
55316	4	5	25	15	13	17	4
4836	15	34	24	51	31	39	41
7716	14	40	20	15	14	10	24
1101	165	554	454	264	446	745	270
55852	18	36	40	40	32	38	29
2689	0	0	0	0	0	0	0
80774	53	83	54	61	102	39	37
83990	0	4	0	1	2	0	1
64108	0	0	1	2	0	1	0
86	33	45	39	40	56	37	16
4711	0	1	1	4	3	2	0
6326	2	16	15	41	13	18	10
10716	0	0	0	0	0	1	0
64844	267	789	428	216	531	278	132
6332	2	6	4	11	1	10	0
10010	5	9	9	7	4	2	7
2626	0	0	0	0	0	0	0
6498	6	23	18	20	20	16	13
2058	3	9	15	8	6	17	5
11311	11	25	9	16	28	22	5
3586	0	0	0	0	0	0	0
51133	5	4	10	35	15	17	39
26750	1	4	7	5	4	11	2
3557	0	0	0	1	0	0	0
79595	1	18	8	11	9	8	16
274	12	33	35	62	39	57	53
92856	2	2	12	10	6	3	10
9394	28	19	22	42	32	15	30
2995	2	4	9	14	19	8	17
8027	0	2	3	9	5	3	3
2572	0	0	0	0	1	0	0
10006	11	15	19	16	25	27	13
10730	16	60	42	52	66	61	55
64215	5	11	11	8	10	3	12
1025	4	8	6	26	13	16	29
7295	0	1	3	3	1	12	2
4957	6	7	10	21	15	5	13
23392	8	25	28	48	31	27	29
27348	6	21	20	24	11	13	11
10592	7	12	10	19	7	4	6
9314	4	3	4	11	2	21	16
1861	11	48	28	25	16	18	8
9649	4	10	7	28	8	7	14
27090	4	6	3	9	5	3	3
6812	16	49	25	33	23	17	28
29988	0	5	1	8	5	1	7
23452	90	115	125	138	107	134	94
55755	6	26	19	55	22	20	18
7539	0	2	1	4	3	3	2
1318	47	80	47	46	63	62	13
1317	17	18	24	35	29	26	22
7099	3	4	7	15	5	4	1
7743	3	0	15	16	20	10	5
229	38	306	583	470	390	869	281
55014	53	107	84	103	116	80	41
9128	1	3	3	4	5	2	4
2356	3	31	18	30	20	9	27
10868	72	67	62	73	68	56	59
570	0	0	0	0	0	0	0
9550	5	7	12	18	14	22	14
54881	312	594	642	587	460	808	180
8818	0	3	1	10	3	4	6
9568	0	2	0	0	0	0	0
5695	23	233	145	145	76	123	50
2516	0	0	0	0	1	0	0
10244	0	6	1	4	2	1	5
2800	3	14	16	17	15	16	20
7507	38	56	79	70	86	59	29
4686	508	700	745	532	675	671	238
10541	17	34	12	68	19	30	125
5082	1	2	3	5	5	0	2
11224	11	48	31	71	42	56	42
1515	0	5	2	7	2	5	4
4010	0	3	2	4	6	3	8
81873	4	12	8	15	15	10	23
5168	4	20	16	19	20	16	5
79139	1	6	6	5	4	9	3
4609	1	4	1	0	3	2	3
4856	3	1	2	5	2	0	1
90865	0	0	0	0	1	0	0
26953	0	0	5	4	3	6	2
64425	3	10	1	3	2	2	0
9373	2	1	3	1	8	3	3
3590	0	1	4	9	5	1	0
55833	8	38	30	59	36	43	47
54840	1	3	9	5	9	9	2
152006	7	16	6	28	10	12	15
7094	46	141	90	187	192	83	186
6366	5	7	1	4	11	2	3
27240	0	0	1	2	1	1	0
3452	1	2	0	0	0	1	0
1761	0	0	0	0	0	0	0
25822	42	108	125	92	73	118	30
26206	17	69	29	19	52	18	17
11258	0	0	0	4	2	0	2
971	3	7	7	7	8	8	5
9380	16	42	42	40	47	48	42
219	1	4	14	22	18	11	10
55667	28	53	64	53	53	80	23
6194	28	108	101	154	123	94	78
7746	0	0	0	5	2	2	3
5292	1	3	0	17	2	6	37
2766	1	1	3	8	6	6	14
7020	8	23	15	18	14	15	26
10864	5	41	45	72	20	62	29
25844	2	3	7	9	29	10	19
81853	0	2	0	10	1	5	2
10817	9	21	8	21	4	3	34
93643	17	31	15	51	24	17	34
11131	0	0	0	0	1	0	0
9856	0	2	0	3	4	2	0
3662	0	2	3	1	0	2	0
7280	11	50	26	31	36	45	9
55227	1	0	9	5	4	1	4
8521	0	1	0	0	0	0	1
2295	0	12	0	0	0	0	0
670	0	3	8	22	13	11	6
8737	14	36	24	45	25	21	59
347733	15	31	12	14	4	5	26
3159	11	48	12	21	10	11	10
10211	7	28	19	34	43	32	51
8870	9	4	13	28	8	19	29
9656	5	27	20	76	28	39	25
7172	1	10	16	12	9	13	3
1208	0	0	1	0	0	0	0
23787	9	19	10	47	36	19	34
51439	7	23	8	21	34	14	24
9982	0	0	1	0	0	0	0
7097	0	1	2	5	0	1	1
4647	7	23	28	33	14	26	36
9873	26	60	49	57	31	39	30
408	3	23	12	31	18	10	16
11309	2	6	18	15	17	19	8
5612	2	7	6	14	8	3	11
4926	204	378	398	595	426	431	396
60492	45	77	66	43	41	74	20
54843	6	18	15	56	36	33	20
27314	0	10	7	6	2	3	1
58487	15	25	27	60	22	34	105
2615	8	10	14	39	24	12	10
5547	3	20	13	32	15	24	10
79731	1	5	7	21	0	6	9
55298	0	7	6	17	3	11	4
29088	0	1	10	2	10	7	2
51050	0	0	0	0	4	0	0
7274	1	0	2	1	0	1	0
8836	10	43	32	16	28	33	16
81796	0	0	0	0	0	0	0
23213	0	8	14	13	23	8	7
96764	2	3	8	15	9	16	8
6386	31	89	61	48	85	53	15
4750	4	8	21	22	0	18	8
54827	29	14	24	32	17	25	10
6653	21	42	45	72	58	53	64
56649	13	67	36	51	46	145	39
7225	16	38	19	10	22	19	5
4316	0	3	3	2	8	0	0
9313	0	3	0	0	0	0	0
64066	0	0	0	0	0	0	0
10413	22	40	38	95	35	33	81
23650	0	0	0	7	3	1	1
2542	4	13	11	28	34	16	19
54766	0	0	0	0	0	0	0
25833	1	1	0	1	0	1	0
5962	20	59	68	108	63	87	44
5519	36	56	51	69	54	77	40
2230	1	13	4	5	10	5	14
53826	157	215	268	273	223	310	210
486	14	19	44	146	42	43	85
4322	23	72	93	60	60	135	31
834	1	0	0	0	0	0	0
838	0	1	0	1	0	0	0
5607	1	8	7	14	7	3	5
58472	0	0	1	0	3	2	0
79811	49	59	84	101	48	88	44
7057	69	195	203	231	191	166	95
23005	6	6	10	34	7	15	24
51203	0	3	0	1	0	0	0
51103	2	8	2	5	6	2	7
9493	9	13	10	5	18	3	3
57082	0	0	5	3	3	3	0
23168	8	27	32	47	20	27	28
56965	6	26	24	43	13	13	20
6176	44	50	85	68	107	46	72
54852	56	32	68	107	59	33	18
54839	4	14	4	12	13	10	10
3706	1	0	0	1	1	0	0
4091	16	28	18	46	14	22	85
5330	1	17	8	21	11	4	12
80021	11	20	8	18	13	13	11
56924	4	16	11	19	9	17	17
102	1	16	16	46	22	21	24
53905	97	221	127	308	144	96	69
9153	5	38	33	49	16	21	2
64220	3	7	15	21	18	24	13
1588	2	5	4	0	0	2	2
80031	12	13	18	40	27	27	38
10017	2	1	1	1	3	2	5
51332	24	59	31	52	20	36	31
2644	33	87	48	85	70	53	33
8412	14	46	32	60	55	39	53
79739	3	22	11	12	13	10	5
54874	10	19	29	61	28	38	30
56267	0	3	4	2	3	3	2
2959	1	1	0	1	0	4	1
676	0	0	0	0	0	0	0
5876	0	0	9	6	2	2	1
10964	0	7	5	54	4	17	1
54810	3	7	5	26	13	12	14
9411	3	21	49	75	24	43	21
10561	0	1	1	3	8	0	0
9635	0	0	0	0	0	0	0
58511	0	0	0	0	2	0	0
1629	19	11	19	68	21	32	12
8634	1	9	2	8	5	7	7
3032	5	25	17	15	35	23	11
3795	8	44	43	41	30	37	47
5495	1	1	3	7	0	5	8
51626	3	3	8	9	4	6	6
3973	2	2	2	43	28	30	34
80745	2	9	10	9	5	13	4
1545	29	85	36	71	59	23	51
5861	18	64	43	60	50	40	32
10097	6	19	18	28	32	26	15
10113	7	9	10	14	11	11	8
8884	97	128	55	67	81	58	93
64240	18	31	36	20	25	32	15
9581	590	1485	1440	562	1371	1767	414
11117	12	62	15	31	39	20	39
80204	83	133	112	107	168	108	86
6496	0	0	0	0	0	0	0
10128	10	14	51	46	45	69	14
1838	4	4	7	15	7	9	18
10121	17	30	24	48	22	19	26
1559	1	0	17	1	1	1	1
79847	12	29	26	30	21	27	22
1558	0	10	5	21	0	19	0
9023	0	0	1	0	0	1	0
3832	15	33	21	17	14	10	1
50624	0	0	0	0	0	0	0
10579	14	25	33	87	39	55	74
1847	0	1	2	5	2	5	0
403	15	28	15	22	17	22	7
55165	0	0	0	0	0	1	0
953	416	866	645	614	465	740	345
51196	68	218	196	120	161	186	55
5950	0	8	8	15	27	20	20
51163	0	1	10	6	4	8	0
23317	15	47	69	58	39	68	37
53836	5	8	3	0	2	3	0
310	1	4	4	11	11	10	14
22891	0	1	0	0	0	0	0
6229	35	93	128	153	135	128	71
316	4	16	17	14	23	34	4
471	2	11	5	2	4	7	9
50485	10	12	18	22	14	7	19
580	1	2	4	1	0	1	0
6775	1	1	1	3	0	1	0
2660	0	2	0	4	0	1	1
79800	18	5	20	27	20	11	7
54529	0	2	0	1	1	0	0
29081	158	266	162	84	176	182	77
6741	24	55	44	58	61	40	34
4664	32	12	19	52	17	28	12
9360	26	82	107	174	44	79	51
79675	0	9	4	11	12	7	4
3417	1	14	17	13	21	18	6
6744	21	30	27	85	43	42	94
1134	0	0	0	0	0	1	0
55759	1	8	16	19	7	8	9
10152	1392	2301	1820	1428	2001	1859	693
3685	15	21	33	41	38	22	46
55032	10	12	8	19	17	4	81
57337	2	3	6	15	14	9	6
10063	0	3	5	3	2	2	1
55329	51	119	93	99	110	77	34
9101	137	164	268	277	250	291	116
29766	34	73	43	41	39	40	45
26035	10	52	43	35	28	40	13
83464	12	9	25	14	6	12	6
8483	0	1	0	1	1	1	4
54956	1	12	5	5	6	2	13
60490	0	1	8	6	4	2	0
10021	2	5	0	5	0	1	0
8482	0	0	0	1	0	0	1
83478	44	51	125	183	81	130	44
8916	0	4	0	3	1	0	1
55008	8	19	14	15	11	8	4
51191	0	3	0	7	1	2	5
64579	3	1	4	1	2	3	0
51138	0	3	5	3	4	3	1
5593	0	3	1	1	1	2	2
22872	5	42	37	50	40	31	35
2250	0	0	1	0	1	0	0
59067	0	0	0	0	0	0	0
2247	51	82	61	39	50	63	45
55212	0	9	7	3	4	2	2
84162	16	76	68	163	77	79	59
658	0	1	11	9	6	2	4
5910	1	3	5	7	3	3	7
22915	0	1	0	0	0	0	3
8654	289	792	487	298	437	521	131
11107	3	5	5	12	2	2	8
7222	1	0	2	2	0	1	2
53371	0	1	9	14	9	3	6
4283	0	0	0	0	0	0	0
55589	9	23	16	18	23	31	15
9908	18	19	29	24	21	21	30
55752	92	237	132	188	130	132	111
80144	11	39	56	97	64	69	41
950	20	33	37	65	53	44	27
901	4	11	7	13	14	10	56
8999	0	0	3	5	1	2	5
306	0	2	0	2	7	1	3
27068	2	1	4	6	5	3	10
1062	0	0	0	0	0	1	0
57117	25	25	32	27	22	27	30
2028	5	31	54	46	55	83	36
839	0	5	1	7	3	3	4
51176	0	5	3	9	1	6	8
3033	3	12	12	10	16	14	15
1950	8	33	84	56	51	95	189
9061	1	5	2	4	7	3	5
10427	3	13	15	12	8	15	4
5530	5	21	14	14	2	1	15
64116	1	2	3	8	10	6	3
2201	0	25	0	2	3	3	3
23162	46	70	54	163	84	104	127
5998	17	30	21	47	21	17	33
91445	1	1	1	11	10	6	1
5149	0	0	0	3	0	0	0
2120	3	11	10	26	14	9	17
23710	9	25	44	87	47	76	61
51067	7	13	8	29	9	7	16
5288	6	35	44	26	34	53	9
58516	2	2	10	17	4	0	6
53919	0	3	0	0	1	0	0
55500	3	17	17	17	7	13	23
51279	6	28	10	21	22	5	8
4704	0	1	1	8	6	2	1
9746	15	37	60	37	37	32	42
10219	0	1	0	0	0	1	0
6843	95	169	106	151	71	119	67
55080	35	126	47	55	51	28	49
939	64	142	63	61	73	55	42
5830	1	5	1	6	11	4	12
55089	97	235	264	179	142	435	45
347902	1	10	3	6	1	3	6
1280	1	1	1	2	3	0	0
8499	35	99	83	45	68	54	17
83729	1	18	2	1	2	2	1
22822	4	9	9	32	20	20	33
8549	1	2	0	1	0	1	0
1848	5	6	20	10	11	17	20
4060	0	19	1	10	23	1	0
11081	0	0	0	0	0	0	0
6636	0	3	8	2	5	3	0
429	0	0	0	1	0	0	0
6996	3	26	7	7	6	15	6
51228	1	8	12	23	15	12	13
9815	39	53	94	73	20	70	61
9107	1	7	2	7	2	2	4
283537	3	1	5	4	4	2	4
6541	4	0	13	21	6	0	5
3651	0	0	0	0	0	0	0
6821	14	34	31	43	23	27	20
8608	0	0	0	0	0	0	0
94	3	3	5	20	4	6	6
8620	0	0	0	0	2	0	0
79035	4	3	4	10	3	3	3
6601	73	177	111	228	131	164	98
675	6	16	10	8	21	11	4
7786	761	1387	1265	985	1068	1434	565
3695	41	94	64	50	30	68	38
11226	9	10	8	18	8	4	9
51380	23	41	30	49	25	36	45
