SRR11784031	SRR11784026	SRR11784028	SRR11784030	SRR11784027	SRR11784029	SRR11784032
535	2	9	15	34	22	17	13
8554	86	341	339	181	222	316	69
9497	9	12	9	25	7	10	25
321	1	4	0	2	2	0	0
79645	0	3	0	0	0	0	0
9168	8	59	32	64	88	31	52
28990	42	94	75	38	54	62	24
8504	3	12	9	3	5	10	2
11345	7	13	17	15	20	11	17
4653	4	21	24	29	28	18	7
26751	8	13	37	23	21	26	30
7414	41	150	125	140	138	80	60
23604	2	4	8	14	2	6	2
8439	5	22	7	27	24	8	39
159	7	6	3	31	9	11	8
7077	25	74	31	90	86	31	141
5981	6	16	19	48	15	15	19
8452	13	8	22	31	31	30	34
9172	0	14	22	12	12	19	9
5009	0	0	0	0	0	0	0
10858	1	4	1	4	1	6	0
26009	3	26	20	43	4	24	10
6570	0	0	0	0	0	0	0
9099	15	33	91	32	29	64	141
846	9	21	27	105	36	35	61
27175	7	10	24	37	18	14	8
2324	1	13	15	24	30	19	23
54455	5	0	6	19	11	6	14
4234	5	9	15	10	7	17	3
3224	6	1	4	33	5	13	13
175	1	0	2	2	3	1	0
27430	1	6	1	7	10	6	8
23644	4	15	15	16	14	8	15
7204	39	53	28	135	57	45	98
1462	1	32	3	22	31	3	5
4481	1	3	1	11	3	7	3
999	8	18	21	33	26	18	38
23517	299	579	247	176	352	293	100
9765	159	297	221	128	287	271	129
79567	56	118	98	242	111	89	190
729	5	19	4	0	2	3	0
26064	20	14	38	46	15	26	7
11063	14	2	6	5	2	2	15
11284	85	218	93	167	112	109	175
54831	5	9	9	3	0	4	0
54908	1	3	1	2	0	7	0
27067	0	11	4	21	5	6	12
1497	249	530	306	427	377	291	260
1008	0	1	0	0	0	0	0
3631	22	47	61	25	38	43	19
5874	0	0	1	2	0	1	4
5685	0	10	13	14	8	8	10
23026	0	1	0	5	0	4	0
55341	3	14	9	19	14	16	13
10039	3	11	7	16	8	5	15
3371	24	52	32	201	103	45	32
90326	486	382	451	469	485	400	416
55775	2	4	2	10	6	5	4
55812	19	49	35	30	28	26	12
54884	19	76	49	40	29	20	16
822	8	13	1	9	11	5	9
1175	6	1	3	8	11	3	12
7399	12	29	30	14	41	23	7
11055	0	0	1	0	0	0	0
7038	8	19	14	24	13	12	13
10863	5	45	8	13	4	4	1
8538	0	0	0	9	5	10	3
54165	14	17	12	23	11	10	16
23338	8	35	28	91	43	48	66
3937	1	4	0	7	5	2	1
54802	1	6	2	11	6	8	2
153	0	1	0	2	1	1	4
2981	0	0	0	0	0	0	0
9820	38	82	55	75	55	47	43
1495	59	106	97	114	114	106	93
5256	6	22	24	28	27	24	15
2042	0	3	0	0	2	0	2
3309	9	28	26	51	60	32	53
54960	2	2	7	7	4	2	2
8481	61	92	30	58	43	38	20
2824	141	268	281	212	219	255	49
51438	1	0	3	1	0	1	1
22884	16	20	10	46	21	15	33
64848	0	11	12	13	3	11	11
56474	0	3	11	14	3	4	2
51606	2	10	14	10	10	3	16
